,date,product,category,price,quantity,revenue,quarter
0,2022-01-01,Smartphone,Electronics,600.0,10.0,6000.0,1
1,2022-01-01,Laptop,Electronics,1200.0,5.0,6000.0,1
2,2022-01-02,T-Shirt,Clothing,20.0,50.0,1000.0,1
3,2022-01-03,Headphones,Electronics,100.0,20.0,2000.0,1
4,2022-01-04,T-Shirt,Clothing,20.0,25.0,500.0,1
5,2022-01-05,Watch,Accessories,150.0,10.0,1500.0,1
6,2022-01-06,Smartphone,Electronics,600.0,8.0,4800.0,1
7,2022-01-06,Tablet,Electronics,400.0,5.0,2000.0,1
8,2022-01-07,Coat,Clothing,100.0,10.0,1000.0,1
9,2022-01-08,Smartwatch,Accessories,200.0,12.0,2400.0,1
10,2022-01-09,Speaker,Electronics,80.0,15.0,1200.0,1
11,2022-01-10,Backpack,Bags,50.0,20.0,1000.0,1
12,2022-01-11,Hoodie,Clothing,40.0,30.0,1200.0,1
13,2022-01-12,Smartphone,Electronics,600.0,12.0,7200.0,1
14,2022-01-13,Sneakers,Shoes,80.0,10.0,800.0,1
15,2022-01-14,Wallet,Accessories,30.0,40.0,1200.0,1
16,2022-01-15,Jeans,Clothing,50.0,20.0,1000.0,1
17,2022-01-16,Smartwatch,Accessories,200.0,5.0,1000.0,1
18,2022-01-17,Smartphone,Electronics,600.0,6.0,3600.0,1
19,2022-01-18,Coat,Clothing,100.0,8.0,800.0,1
20,2022-01-19,Speaker,Electronics,80.0,20.0,1600.0,1
21,2022-01-20,Backpack,Bags,50.0,15.0,750.0,1
22,2022-01-21,T-Shirt,Clothing,20.0,40.0,800.0,1
23,2022-01-22,Smartphone,Electronics,600.0,7.0,4200.0,1
24,2022-01-23,Tablet,Electronics,400.0,3.0,1200.0,1
25,2022-01-24,Hoodie,Clothing,40.0,15.0,600.0,1
26,2022-01-25,Smartwatch,Accessories,200.0,8.0,1600.0,1
27,2022-01-26,Sneakers,Shoes,80.0,12.0,960.0,1
28,2022-01-27,Coat,Clothing,100.0,5.0,500.0,1
29,2022-01-28,Speaker,Electronics,80.0,8.0,640.0,1
30,2022-01-29,T-Shirt,Clothing,20.0,30.0,600.0,1
31,2022-01-30,Smartphone,Electronics,600.0,9.0,5400.0,1
32,2022-01-31,Jeans,Clothing,50.0,15.0,750.0,1
33,2022-02-01,T-Shirt,Clothing,20.0,35.0,700.0,1
34,2022-02-02,Smartphone,Electronics,600.0,10.0,6000.0,1
35,2022-02-03,Headphones,Electronics,100.0,25.0,2500.0,1
36,2022-02-04,Coat,Clothing,100.0,12.0,1200.0,1
37,2022-02-05,Watch,Accessories,150.0,8.0,1200.0,1
38,2022-02-06,Smartphone,Electronics,600.0,7.0,4200.0,1
39,2022-02-07,Speaker,Electronics,80.0,18.0,1440.0,1
40,2022-02-08,Backpack,Bags,50.0,25.0,1250.0,1
41,2022-02-09,Smartwatch,Accessories,200.0,6.0,1200.0,1
42,2022-02-10,Jeans,Clothing,50.0,10.0,500.0,1
43,2022-02-11,T-Shirt,Clothing,20.0,20.0,400.0,1
44,2022-02-12,Smartphone,Electronics,600.0,12.0,7200.0,1
45,2022-02-13,Sneakers,Shoes,80.0,8.0,640.0,1
46,2022-02-14,Wallet,Accessories,30.0,30.0,900.0,1
47,2022-02-15,Tablet,Electronics,400.0,4.0,1600.0,1
48,2022-02-16,Smartwatch,Accessories,200.0,7.0,1400.0,1
49,2022-02-17,Smartphone,Electronics,600.0,6.0,3600.0,1
50,2022-02-18,Hoodie,Clothing,40.0,20.0,800.0,1
51,2022-02-19,Speaker,Electronics,80.0,12.0,960.0,1
52,2022-02-20,Backpack,Bags,50.0,18.0,900.0,1
53,2022-02-21,Sneakers,Shoes,80.0,5.0,400.0,1
54,2022-02-22,Smartphone,Electronics,600.0,8.0,4800.0,1
55,2022-02-23,Coat,Clothing,100.0,6.0,600.0,1
56,2022-02-24,T-Shirt,Clothing,20.0,15.0,300.0,1
57,2022-02-25,Smartwatch,Accessories,200.0,10.0,2000.0,1
58,2022-02-26,Jeans,Clothing,50.0,18.0,900.0,1
59,2022-02-27,Smartphone,Electronics,600.0,9.0,5400.0,1
60,2022-02-28,Watch,Accessories,150.0,5.0,750.0,1
61,2022-03-01,T-Shirt,Clothing,20.0,40.0,800.0,1
62,2022-03-02,Smartphone,Electronics,600.0,10.0,6000.0,1
63,2022-03-03,Headphones,Electronics,100.0,15.0,1500.0,1
64,2022-03-04,Coat,Clothing,100.0,20.0,2000.0,1
65,2022-03-05,Smartwatch,Accessories,200.0,12.0,2400.0,1
66,2022-03-06,Smartphone,Electronics,600.0,7.0,4200.0,1
67,2022-03-07,Speaker,Electronics,80.0,10.0,800.0,1
68,2022-03-08,Backpack,Bags,50.0,15.0,750.0,1
69,2022-03-09,Jeans,Clothing,50.0,25.0,1250.0,1
70,2022-03-10,T-Shirt,Clothing,20.0,30.0,600.0,1
71,2022-03-11,Hoodie,Clothing,40.0,10.0,400.0,1
72,2022-03-12,Smartphone,Electronics,600.0,12.0,7200.0,1
73,2022-03-13,Sneakers,Shoes,80.0,15.0,1200.0,1
74,2022-03-14,Wallet,Accessories,30.0,40.0,1200.0,1
75,2022-03-15,Smartwatch,Accessories,200.0,5.0,1000.0,1
76,2022-03-16,Smartphone,Electronics,600.0,6.0,3600.0,1
77,2022-03-17,Coat,Clothing,100.0,8.0,800.0,1
78,2022-03-18,Speaker,Electronics,80.0,20.0,1600.0,1
79,2022-03-19,Backpack,Bags,50.0,10.0,500.0,1
80,2022-03-20,T-Shirt,Clothing,20.0,25.0,500.0,1
81,2022-03-21,Tablet,Electronics,400.0,3.0,1200.0,1
82,2022-03-22,Smartphone,Electronics,600.0,7.0,4200.0,1
83,2022-03-23,Sneakers,Shoes,80.0,12.0,960.0,1
84,2022-03-24,T-Shirt,Clothing,20.0,15.0,300.0,1
85,2022-03-25,Smartwatch,Accessories,200.0,8.0,1600.0,1
86,2022-03-26,Jeans,Clothing,50.0,20.0,1000.0,1
87,2022-03-27,Smartphone,Electronics,600.0,9.0,5400.0,1
88,2022-03-28,Watch,Accessories,150.0,10.0,1500.0,1
89,2022-03-29,Coat,Clothing,100.0,5.0,500.0,1
90,2022-03-30,Headphones,Electronics,100.0,10.0,1000.0,1
91,2022-03-31,Smartphone,Electronics,600.0,11.0,6600.0,1
92,2022-04-01,Hoodie,Clothing,40.0,30.0,1200.0,2
93,2022-04-02,Smartphone,Electronics,600.0,10.0,6000.0,2
94,2022-04-03,Speaker,Electronics,80.0,25.0,2000.0,2
95,2022-04-04,Coat,Clothing,100.0,15.0,1500.0,2
96,2022-04-05,Smartwatch,Accessories,200.0,10.0,2000.0,2
97,2022-04-06,Smartphone,Electronics,600.0,7.0,4200.0,2
98,2022-04-07,Backpack,Bags,50.0,18.0,900.0,2
99,2022-04-08,T-Shirt,Clothing,20.0,35.0,700.0,2
100,2022-04-09,Jeans,Clothing,50.0,10.0,500.0,2
101,2022-04-10,Watch,Accessories,150.0,12.0,1800.0,2
102,2022-04-11,Hoodie,Clothing,40.0,20.0,800.0,2
103,2022-04-12,Smartphone,Electronics,600.0,12.0,7200.0,2
104,2022-04-13,Sneakers,Shoes,80.0,8.0,640.0,2
105,2022-04-14,Wallet,Accessories,30.0,30.0,900.0,2
106,2022-04-15,Smartwatch,Accessories,200.0,5.0,1000.0,2
107,2022-04-16,Smartphone,Electronics,600.0,6.0,3600.0,2
108,2022-04-17,Coat,Clothing,100.0,8.0,800.0,2
109,2022-04-18,Speaker,Electronics,80.0,20.0,1600.0,2
110,2022-04-19,Backpack,Bags,50.0,15.0,750.0,2
111,2022-04-20,T-Shirt,Clothing,20.0,20.0,400.0,2
112,2022-04-21,Tablet,Electronics,400.0,6.0,2400.0,2
113,2022-04-22,Smartphone,Electronics,600.0,7.0,4200.0,2
114,2022-04-23,Sneakers,Shoes,80.0,12.0,960.0,2
115,2022-04-24,T-Shirt,Clothing,20.0,25.0,500.0,2
116,2022-04-25,Smartwatch,Accessories,200.0,8.0,1600.0,2
117,2022-04-26,Jeans,Clothing,50.0,15.0,750.0,2
118,2022-04-27,Smartphone,Electronics,600.0,9.0,5400.0,2
119,2022-04-28,Watch,Accessories,150.0,10.0,1500.0,2
120,2022-04-29,Coat,Clothing,100.0,5.0,500.0,2
121,2022-04-30,Headphones,Electronics,100.0,15.0,1500.0,2
122,2022-05-01,Smartphone,Electronics,600.0,11.0,6600.0,2
123,2022-05-02,Hoodie,Clothing,40.0,20.0,800.0,2
124,2022-05-03,Smartphone,Electronics,600.0,10.0,6000.0,2
125,2022-05-04,Speaker,Electronics,80.0,22.0,1760.0,2
126,2022-05-05,Coat,Clothing,100.0,18.0,1800.0,2
127,2022-05-06,Smartwatch,Accessories,200.0,12.0,2400.0,2
128,2022-05-07,Smartphone,Electronics,600.0,7.0,4200.0,2
129,2022-05-08,Backpack,Bags,50.0,20.0,1000.0,2
130,2022-05-09,T-Shirt,Clothing,20.0,30.0,600.0,2
131,2022-05-10,Jeans,Clothing,50.0,25.0,1250.0,2
132,2022-05-11,Watch,Accessories,150.0,15.0,2250.0,2
133,2022-05-12,Hoodie,Clothing,40.0,15.0,600.0,2
134,2022-05-13,Smartphone,Electronics,600.0,12.0,7200.0,2
135,2022-05-14,Sneakers,Shoes,80.0,8.0,640.0,2
136,2022-05-15,Wallet,Accessories,30.0,35.0,1050.0,2
137,2022-05-16,Smartwatch,Accessories,200.0,9.0,1800.0,2
138,2022-05-17,Smartphone,Electronics,600.0,6.0,3600.0,2
139,2022-05-18,Coat,Clothing,100.0,8.0,800.0,2
140,2022-05-19,Speaker,Electronics,80.0,20.0,1600.0,2
141,2022-05-20,Backpack,Bags,50.0,15.0,750.0,2
142,2022-05-21,T-Shirt,Clothing,20.0,25.0,500.0,2
143,2022-05-22,Smartphone,Electronics,600.0,7.0,4200.0,2
144,2022-05-23,Sneakers,Shoes,80.0,12.0,960.0,2
145,2022-05-24,T-Shirt,Clothing,20.0,15.0,300.0,2
146,2022-05-25,Smartwatch,Accessories,200.0,8.0,1600.0,2
147,2022-05-26,Jeans,Clothing,50.0,20.0,1000.0,2
148,2022-05-27,Smartphone,Electronics,600.0,9.0,5400.0,2
149,2022-05-28,Watch,Accessories,150.0,5.0,750.0,2
150,2022-05-29,Coat,Clothing,100.0,5.0,500.0,2
151,2022-05-30,Headphones,Electronics,100.0,10.0,1000.0,2
152,2022-05-31,Smartphone,Electronics,600.0,11.0,6600.0,2
153,2022-06-01,Hoodie,Clothing,40.0,30.0,1200.0,2
154,2022-06-02,Smartphone,Electronics,600.0,10.0,6000.0,2
155,2022-06-03,Speaker,Electronics,80.0,25.0,2000.0,2
156,2022-06-04,Coat,Clothing,100.0,15.0,1500.0,2
157,2022-06-05,Smartwatch,Accessories,200.0,10.0,2000.0,2
158,2022-06-06,Smartphone,Electronics,600.0,7.0,4200.0,2
159,2022-06-07,Backpack,Bags,50.0,18.0,900.0,2
160,2022-06-08,T-Shirt,Clothing,20.0,35.0,700.0,2
161,2022-06-09,Jeans,Clothing,50.0,10.0,500.0,2
162,2022-06-10,Watch,Accessories,150.0,12.0,1800.0,2
163,2022-06-11,Hoodie,Clothing,40.0,20.0,800.0,2
164,2022-06-12,Smartphone,Electronics,600.0,12.0,7200.0,2
165,2022-06-13,Sneakers,Shoes,80.0,15.0,1200.0,2
166,2022-06-14,Wallet,Accessories,30.0,40.0,1200.0,2
167,2022-06-15,Smartwatch,Accessories,200.0,5.0,1000.0,2
168,2022-06-16,Smartphone,Electronics,600.0,6.0,3600.0,2
169,2022-06-17,Coat,Clothing,100.0,8.0,800.0,2
170,2022-06-18,Speaker,Electronics,80.0,20.0,1600.0,2
171,2022-06-19,Backpack,Bags,50.0,15.0,750.0,2
172,2022-06-20,T-Shirt,Clothing,20.0,20.0,400.0,2
173,2022-06-21,Tablet,Electronics,400.0,6.0,2400.0,2
174,2022-06-22,Smartphone,Electronics,600.0,7.0,4200.0,2
175,2022-06-23,Sneakers,Shoes,80.0,12.0,960.0,2
176,2022-06-24,T-Shirt,Clothing,20.0,25.0,500.0,2
177,2022-06-25,Smartwatch,Accessories,200.0,8.0,1600.0,2
178,2022-06-26,Jeans,Clothing,50.0,15.0,750.0,2
179,2022-06-27,Smartphone,Electronics,600.0,9.0,5400.0,2
180,2022-06-28,Watch,Accessories,150.0,10.0,1500.0,2
181,2022-06-29,Coat,Clothing,100.0,5.0,500.0,2
182,2022-06-30,Headphones,Electronics,100.0,15.0,1500.0,2
183,2022-07-01,Smartphone,Electronics,600.0,11.0,6600.0,3
184,2022-07-02,Hoodie,Clothing,40.0,20.0,800.0,3
185,2022-07-03,Smartphone,Electronics,600.0,10.0,6000.0,3
186,2022-07-04,Speaker,Electronics,80.0,22.0,1760.0,3
187,2022-07-05,Coat,Clothing,100.0,18.0,1800.0,3
188,2022-07-06,Smartwatch,Accessories,200.0,12.0,2400.0,3
189,2022-07-07,Smartphone,Electronics,600.0,7.0,4200.0,3
190,2022-07-08,Backpack,Bags,50.0,20.0,1000.0,3
191,2022-07-09,T-Shirt,Clothing,20.0,30.0,600.0,3
192,2022-07-10,Jeans,Clothing,50.0,25.0,1250.0,3
193,2022-07-11,Watch,Accessories,150.0,15.0,2250.0,3
194,2022-07-12,Hoodie,Clothing,40.0,15.0,600.0,3
195,2022-07-13,Smartphone,Electronics,600.0,12.0,7200.0,3
196,2022-07-14,Sneakers,Shoes,80.0,8.0,640.0,3
197,2022-07-15,Wallet,Accessories,30.0,35.0,1050.0,3
198,2022-07-16,Smartwatch,Accessories,200.0,9.0,1800.0,3
199,2022-07-17,Smartphone,Electronics,600.0,6.0,3600.0,3
200,2022-07-18,Coat,Clothing,100.0,8.0,800.0,3
201,2022-07-19,Speaker,Electronics,80.0,20.0,1600.0,3
202,2022-07-20,Backpack,Bags,50.0,15.0,750.0,3
203,2022-07-21,T-Shirt,Clothing,20.0,25.0,500.0,3
204,2022-07-22,Smartphone,Electronics,600.0,7.0,4200.0,3
205,2022-07-23,Sneakers,Shoes,80.0,12.0,960.0,3
206,2022-07-24,T-Shirt,Clothing,20.0,15.0,300.0,3
207,2022-07-25,Smartwatch,Accessories,200.0,8.0,1600.0,3
208,2022-07-26,Jeans,Clothing,50.0,20.0,1000.0,3
209,2022-07-27,Smartphone,Electronics,600.0,9.0,5400.0,3
210,2022-07-28,Watch,Accessories,150.0,5.0,750.0,3
211,2022-07-29,Coat,Clothing,100.0,5.0,500.0,3
212,2022-07-30,Headphones,Electronics,100.0,10.0,1000.0,3
213,2022-07-31,Smartphone,Electronics,600.0,11.0,6600.0,3
214,2022-08-01,Hoodie,Clohting,40.0,30.0,1200.0,3
215,2022-08-02,Smartphone,Electronics,600.0,10.0,6000.0,3
216,2022-08-03,Speaker,Electronics,80.0,25.0,2000.0,3
217,2022-08-04,Coat,Clothing,100.0,15.0,1500.0,3
218,2022-08-05,Smartwatch,Accessories,200.0,10.0,2000.0,3
219,2022-08-06,Smartphone,Electronics,600.0,7.0,4200.0,3
220,2022-08-07,Backpack,Bags,50.0,18.0,900.0,3
221,2022-08-08,T-Shirt,Clothing,20.0,35.0,700.0,3
222,2022-08-09,Jeans,Clothing,50.0,10.0,500.0,3
223,2022-08-10,Watch,Accessories,150.0,12.0,1800.0,3
224,2022-08-11,Hoodie,Clothing,40.0,20.0,800.0,3
225,2022-08-12,Smartphone,Electronics,600.0,12.0,7200.0,3
226,2022-08-13,Sneakers,Shoes,80.0,15.0,1200.0,3
227,2022-08-14,Wallet,Accessories,30.0,40.0,1200.0,3
228,2022-08-15,Smartwatch,Accessories,200.0,5.0,1000.0,3
229,2022-08-16,Smartphone,Electronics,600.0,6.0,3600.0,3
230,2022-08-17,Coat,Clothing,100.0,8.0,800.0,3
231,2022-08-18,Speaker,Electronics,80.0,20.0,1600.0,3
232,2022-08-19,Backpack,Bags,50.0,15.0,750.0,3
233,2022-08-20,T-Shirt,Clothing,20.0,20.0,400.0,3
234,2022-08-21,Tablet,Electronics,400.0,6.0,2400.0,3
235,2022-08-22,Smartphone,Electronics,600.0,7.0,4200.0,3
236,2022-08-23,Sneakers,Shoes,80.0,12.0,960.0,3
237,2022-08-24,T-Shirt,Clothing,20.0,25.0,500.0,3
238,2022-08-25,Smartwatch,Accessories,200.0,8.0,1600.0,3
239,2022-08-26,Jeans,Clothing,50.0,15.0,750.0,3
240,2022-08-27,Smartphone,Electronics,600.0,9.0,5400.0,3
241,2022-08-28,Watch,Accessories,150.0,10.0,1500.0,3
242,2022-08-29,Coat,Clothing,100.0,5.0,500.0,3
243,2022-08-30,Headphones,Electronics,100.0,15.0,1500.0,3
244,2022-08-31,Smartphone,Electronics,600.0,11.0,6600.0,3
245,2022-09-01,Hoodie,Clothing,40.0,20.0,800.0,3
246,2022-09-02,Smartphone,Electronics,600.0,10.0,6000.0,3
247,2022-09-03,Speaker,Electronics,80.0,22.0,1760.0,3
248,2022-09-04,Coat,Clothing,100.0,18.0,1800.0,3
249,2022-09-05,Smartwatch,Accessories,200.0,12.0,2400.0,3
250,2022-09-06,Smartphone,Electronics,600.0,7.0,4200.0,3
251,2022-09-07,Backpack,Bags,50.0,20.0,1000.0,3
252,2022-09-08,T-Shirt,Clothing,20.0,30.0,600.0,3
253,2022-09-09,Jeans,Clothing,50.0,25.0,1250.0,3
254,2022-09-10,Watch,Accessories,150.0,15.0,2250.0,3
255,2022-09-11,Hoodie,Clothing,40.0,15.0,600.0,3
256,2022-09-12,Smartphone,Electronics,600.0,12.0,7200.0,3
257,2022-09-13,Sneakers,Shoes,80.0,8.0,640.0,3
258,2022-09-14,Wallet,Accessories,30.0,35.0,1050.0,3
259,2022-09-15,Smartwatch,Accessories,200.0,9.0,1800.0,3
260,2022-09-16,Smartphone,Electronics,600.0,6.0,3600.0,3
261,2022-09-17,Coat,Clothing,100.0,8.0,800.0,3
262,2022-09-18,Speaker,Electronics,80.0,20.0,1600.0,3
263,2022-09-19,Backpack,Bags,50.0,15.0,750.0,3
264,2022-09-20,T-Shirt,Clothing,20.0,25.0,500.0,3
265,2022-09-21,Smartphone,Electronics,600.0,7.0,4200.0,3
266,2022-09-22,Sneakers,Shoes,80.0,12.0,960.0,3
267,2022-09-23,T-Shirt,Clothing,20.0,15.0,300.0,3
268,2022-09-24,Smartwatch,Accessories,200.0,8.0,1600.0,3
269,2022-09-25,Jeans,Clothing,50.0,20.0,1000.0,3
270,2022-09-26,Smartphone,Electronics,600.0,9.0,5400.0,3
271,2022-09-27,Watch,Accessories,150.0,5.0,750.0,3
272,2022-09-28,Coat,Clothing,100.0,5.0,500.0,3
273,2022-09-29,Headphones,Electronics,100.0,10.0,1000.0,3
274,2022-09-30,Smartphone,Electronics,600.0,11.0,6600.0,3
275,2022-10-01,Hoodie,Clothing,40.0,30.0,1200.0,4
277,2022-10-02,Smartphone,Electronics,600.0,10.0,6000.0,4
278,2022-10-03,Speaker,Electronics,80.0,25.0,2000.0,4
279,2022-10-04,Coat,Clothing,100.0,15.0,1500.0,4
280,2022-10-05,Smartwatch,Accessories,200.0,10.0,2000.0,4
281,2022-10-06,Smartphone,Electronics,600.0,7.0,4200.0,4
282,2022-10-07,Backpack,Bags,50.0,18.0,900.0,4
283,2022-10-08,T-Shirt,Clothing,20.0,35.0,700.0,4
284,2022-10-09,Jeans,Clothing,50.0,10.0,500.0,4
285,2022-10-10,Watch,Accessories,150.0,12.0,1800.0,4
286,2022-10-11,Hoodie,Clothing,40.0,20.0,800.0,4
287,2022-10-12,Smartphone,Electronics,600.0,12.0,7200.0,4
288,2022-10-13,Sneakers,Shoes,80.0,15.0,1200.0,4
289,2022-10-14,Wallet,Accessories,30.0,40.0,1200.0,4
290,2022-10-15,Smartwatch,Accessories,200.0,5.0,1000.0,4
291,2022-10-16,Smartphone,Electronics,600.0,6.0,3600.0,4
292,2022-10-17,Coat,Clothing,100.0,8.0,800.0,4
293,2022-10-18,Speaker,Electronics,80.0,20.0,1600.0,4
294,2022-10-19,Backpack,Bags,50.0,15.0,750.0,4
295,2022-10-20,T-Shirt,Clothing,20.0,20.0,400.0,4
296,2022-10-21,Tablet,Electronics,400.0,6.0,2400.0,4
297,2022-10-22,Smartphone,Electronics,600.0,7.0,4200.0,4
298,2022-10-23,Sneakers,Shoes,80.0,12.0,960.0,4
299,2022-10-24,T-Shirt,Clothing,20.0,25.0,500.0,4
300,2022-10-25,Smartwatch,Accessories,200.0,8.0,1600.0,4
301,2022-10-26,Jeans,Clothing,50.0,15.0,750.0,4
302,2022-10-27,Smartphone,Electronics,600.0,9.0,5400.0,4
303,2022-10-28,Watch,Accessories,150.0,10.0,1500.0,4
304,2022-10-29,Coat,Clothing,100.0,5.0,500.0,4
305,2022-10-30,Headphones,Electronics,100.0,15.0,1500.0,4
306,2022-10-31,Smartphone,Electronics,600.0,11.0,6600.0,4
307,2022-11-01,Hoodie,Clothing,40.0,20.0,800.0,4
308,2022-11-02,Smartphone,Electronics,600.0,10.0,6000.0,4
309,2022-11-03,Speaker,Electronics,80.0,22.0,1760.0,4
310,2022-11-04,Coat,Clothing,100.0,18.0,1800.0,4
311,2022-11-05,Smartwatch,Accessories,200.0,12.0,2400.0,4
312,2022-11-06,Smartphone,Electronics,600.0,7.0,4200.0,4
313,2022-11-07,Backpack,Bags,50.0,20.0,1000.0,4
314,2022-11-08,T-Shirt,Clothing,20.0,30.0,600.0,4
315,2022-11-09,Jeans,Clothing,50.0,25.0,1250.0,4
316,2022-11-10,Watch,Accessories,150.0,15.0,2250.0,4
317,2022-11-10,Hoodie,Clothing,40.0,15.0,600.0,4
318,2022-11-11,Smartphone,Electronics,600.0,12.0,7200.0,4
319,2022-11-12,Sneakers,Shoes,80.0,8.0,640.0,4
320,2022-11-13,Wallet,Accessories,30.0,35.0,1050.0,4
321,2022-11-14,Smartwatch,Accessories,200.0,9.0,1800.0,4
322,2022-11-15,Smartphone,Electronics,600.0,6.0,3600.0,4
323,2022-11-16,Coat,Clothing,100.0,8.0,800.0,4
324,2022-11-17,Speaker,Electronics,80.0,20.0,1600.0,4
325,2022-11-18,Backpack,Bags,50.0,15.0,750.0,4
326,2022-11-19,T-Shirt,Clothing,20.0,25.0,500.0,4
327,2022-11-20,Smartphone,Electronics,600.0,7.0,4200.0,4
328,2022-11-21,Sneakers,Shoes,80.0,12.0,960.0,4
329,2022-11-22,T-Shirt,Clothing,20.0,15.0,300.0,4
330,2022-11-23,Smartwatch,Accessories,200.0,8.0,1600.0,4
331,2022-11-24,Jeans,Clothing,50.0,20.0,1000.0,4
332,2022-11-25,Smartphone,Electronics,600.0,9.0,5400.0,4
333,2022-11-26,Watch,Accessories,150.0,5.0,750.0,4
334,2022-11-27,Coat,Clothing,100.0,5.0,500.0,4
335,2022-11-28,Headphones,Electronics,100.0,10.0,1000.0,4
336,2022-11-29,Smartphone,Electronics,600.0,11.0,6600.0,4
337,2022-11-30,Hoodie,Clothing,40.0,30.0,1200.0,4
338,2022-12-01,Smartphone,Electronics,600.0,10.0,6000.0,4
339,2022-12-02,Speaker,Electronics,80.0,25.0,2000.0,4
340,2022-12-03,Coat,Clothing,100.0,15.0,1500.0,4
341,2022-12-04,Smartwatch,Accessories,200.0,10.0,2000.0,4
342,2022-12-05,Smartphone,Electronics,600.0,7.0,4200.0,4
343,2022-12-06,Backpack,Bgas,50.0,18.0,900.0,4
344,2022-12-07,T-Shirt,Clothing,20.0,35.0,700.0,4
345,2022-12-08,Jeans,Clothing,50.0,10.0,500.0,4
346,2022-12-09,Watch,Accessories,150.0,12.0,1800.0,4
347,2022-12-10,Hoodie,Clothing,40.0,20.0,800.0,4
348,2022-12-11,Smartphone,Electronics,600.0,12.0,7200.0,4
349,2022-12-12,Sneakers,Shoes,80.0,15.0,1200.0,4
350,2022-12-13,Wallet,Accessories,30.0,40.0,1200.0,4
351,2022-12-14,Smartwatch,Accessories,200.0,5.0,1000.0,4
352,2022-12-15,Smartphone,Electronics,600.0,6.0,3600.0,4
353,2022-12-16,Coat,Clothing,100.0,8.0,800.0,4
354,2022-12-17,Speaker,Electronics,80.0,20.0,1600.0,4
355,2022-12-18,Backpack,Bags,50.0,15.0,750.0,4
356,2022-12-19,T-Shirt,Clothing,20.0,20.0,400.0,4
357,2022-12-20,Tablet,Electronics,400.0,6.0,2400.0,4
358,2022-12-21,Smartphone,Electronics,600.0,7.0,4200.0,4
359,2022-12-22,Sneakers,Shoeses,80.0,12.0,960.0,4
360,2022-12-23,T-Shirt,Clothing,20.0,25.0,500.0,4
361,2022-12-24,Smartwatch,Accessories,200.0,8.0,1600.0,4
362,2022-12-25,Jeans,Clothing,50.0,15.0,750.0,4
363,2022-12-26,Smartphone,Electronics,600.0,9.0,5400.0,4
364,2022-12-27,Watch,Accessories,150.0,5.0,750.0,4
365,2022-12-28,Coat,Clothing,100.0,5.0,500.0,4
366,2022-12-29,Headphones,Electronics,100.0,10.0,1000.0,4
367,2022-12-30,Smartphone,Electronics,600.0,11.0,6600.0,4
368,2022-12-31,Hoodie,Clothing,40.0,30.0,1200.0,4
